method,ssl_epochs,loss,s_acc,b_acc
(lr=0.1,ema=0.99)
ours_ssl_then_head,1,0.5310060725868497,0.789874255657196,0.697731249862247
ours_ssl_then_head,2,0.36585675877186735,0.8573791980743408,0.7680519686804878
ours_ssl_then_head,3,0.6167865802246084,0.75380539894104,0.634401669104894
ours_ssl_then_head,4,0.38436389452648984,0.8540701270103455,0.7672077781624265
ours_ssl_then_head,5,0.5428411499859086,0.7875578999519348,0.6762464377615187
ours_ssl_then_head,6,0.6176596303241763,0.7567836046218872,0.6524280723598268
ours_ssl_then_head,7,0.581235529037598,0.7776306867599487,0.6832146479023827
ours_ssl_then_head,8,0.6930498859686697,0.7230311036109924,0.5952362020810446
ours_ssl_then_head,9,0.1786764264501222,0.9377895593643188,0.9055514732996622
ours_ssl_then_head,10,0.609894021783421,0.7584381103515625,0.6392096314165328
ours_ssl_then_head,25,0.4811236537465349,0.8024486899375916,0.7261487212446001
ours_ssl_then_head,50,0.7056560394071254,0.7260092496871948,0.5825730760892233

0.01
ours_ssl_then_head,1,0.33020499776642026,0.8805426955223083,0.8249143958091736
ours_ssl_then_head,2,0.38349589625586744,0.8537392616271973,0.7973924345440335
ours_ssl_then_head,3,0.2843080323946389,0.8997352719306946,0.8671772148874071
ours_ssl_then_head,4,0.2048815888760107,0.938782274723053,0.9331785639127096
ours_ssl_then_head,5,0.286836894262338,0.8987425565719604,0.8448149760564169
ours_ssl_then_head,6,0.2180480977999876,0.9354732036590576,0.9389695591396756
ours_ssl_then_head,7,0.17599256471795488,0.9487094879150391,0.9485677679379781
ours_ssl_then_head,8,0.3450572303712644,0.8739245533943176,0.8284743030865988
ours_ssl_then_head,9,0.3067163262050291,0.8954334855079651,0.85873767402437
ours_ssl_then_head,10,0.2941504371106565,0.9007279872894287,0.8668884966108534
ours_ssl_then_head,25,0.27365637704246804,0.9152879118919373,0.9013881352212694
ours_ssl_then_head,50,0.3790637370097882,0.851753830909729,0.7598350379202101

0.002
ours_ssl_then_head,0,110.83539275820092,0.25479814410209656,0.1111111111111111
ours_ssl_then_head,1,0.36258593897879476,0.8639973402023315,0.8071558872858683
ours_ssl_then_head,2,0.3959908082558571,0.8540701270103455,0.7856147951549954
ours_ssl_then_head,3,0.26243335890265035,0.9060224890708923,0.8735674288537767
ours_ssl_then_head,4,0.17147668507776065,0.9497022032737732,0.9479699664645724
ours_ssl_then_head,5,0.2717109193457112,0.9080079197883606,0.8823869758182101
ours_ssl_then_head,6,0.1758432530808496,0.9374586343765259,0.934526092476315
ours_ssl_then_head,7,0.19158200502474523,0.9440767765045166,0.9451677600542704
ours_ssl_then_head,8,0.3681087789355643,0.8659827709197998,0.7968970470958285
ours_ssl_then_head,9,0.3427458965446995,0.8798808455467224,0.8322712845272489
ours_ssl_then_head,10,0.3072518848134223,0.8927862048149109,0.845962815814548
ours_ssl_then_head,25,0.15421853742601066,0.9579748511314392,0.9538801179991828
ours_ssl_then_head,50,0.4028762888032659,0.849768340587616,0.7741815514034696
ours_ssl_then_head,100,0.19079212663839445,0.947054922580719,0.9422376486990187
