method,ssl_epochs,loss,s_acc,b_acc
(lr=0.3, t=0.2, quenesize=1024, ema=0.996) 
ours_ssl_then_head,1,0.6018169084816559,0.7683653235435486,0.6521146827273898
ours_ssl_then_head,2,0.7467026276197124,0.7081403136253357,0.548462542394797
ours_ssl_then_head,3,0.5547816438599188,0.7769688963890076,0.6731668810049692
ours_ssl_then_head,4,0.4004247220816161,0.8550629019737244,0.7939012315538194
ours_ssl_then_head,5,0.7212993382697545,0.7180675268173218,0.5901035699579451
ours_ssl_then_head,6,0.6260015136463054,0.7392455339431763,0.6194531818230947
ours_ssl_then_head,7,0.7980115625891443,0.6833223104476929,0.5432824740807215
ours_ssl_then_head,8,0.269296172699348,0.9033752679824829,0.8492853244145712
ours_ssl_then_head,9,0.34805720779258315,0.868299126625061,0.7983388006687164
ours_ssl_then_head,10,0.542741108796677,0.7865651845932007,0.6693752606709799

(lr=0.3, t=0.1, quenesize=1024, ema=0.996) 
ours_ssl_then_head,1,0.5284441256665142,0.7925215363502502,0.6980719798141055
ours_ssl_then_head,2,0.6444275697519415,0.7471873164176941,0.6200315985414717
ours_ssl_then_head,3,0.4921049401903689,0.8130377531051636,0.7177507711781396
ours_ssl_then_head,4,0.4438706914318601,0.8279285430908203,0.7422026031547122
ours_ssl_then_head,5,0.3022319573299154,0.8894771933555603,0.8255262739128537
ours_ssl_then_head,6,0.4394824176081866,0.8199867606163025,0.7214826809035407
ours_ssl_then_head,7,0.49729497739854117,0.8021178245544434,0.7144395990504159
ours_ssl_then_head,8,0.6994880064680906,0.7250165343284607,0.597962455617057
ours_ssl_then_head,9,0.44244972343509126,0.8322303295135498,0.7493531968858507
ours_ssl_then_head,10,0.7029764198609963,0.728656530380249,0.6062724772426817

(lr=0.3, t=0.2, quenesize=512, ema=0.99) 
ours_ssl_then_head,1,0.6351849455300109,0.754798173904419,0.6341187159220377
ours_ssl_then_head,2,0.690538863959019,0.7332892417907715,0.5788964339428477
ours_ssl_then_head,3,0.34005391250612876,0.8676373362541199,0.8088203469912211
ours_ssl_then_head,4,0.6127050478358997,0.7600926756858826,0.6549495442046059
ours_ssl_then_head,5,0.7065676850329007,0.7137657403945923,0.5782215173045794
ours_ssl_then_head,6,0.6152098137591944,0.7577763199806213,0.639720544219017
ours_ssl_then_head,7,0.42412252065403266,0.8391793370246887,0.7607911990748512
ours_ssl_then_head,8,0.7984195189472857,0.683984100818634,0.5117690662542979
ours_ssl_then_head,9,0.541899505867065,0.7855724692344666,0.6848977870411344
ours_ssl_then_head,10,0.44527627977411294,0.8183322548866272,0.735717409186893
ours_ssl_then_head,25,0.8045236543659182,0.6730641722679138,0.5247104786750343
ours_ssl_then_head,50,0.23464600689102685,0.9166114926338196,0.8835150003433228

(lr = 0.05)
ours_ssl_then_head,1,0.1539703422701535,0.9520185589790344,0.9418261316087511
ours_ssl_then_head,2,0.13657522897780297,0.964262068271637,0.9608604709307352
ours_ssl_then_head,3,0.2136635509024366,0.9291859865188599,0.9042408068974813
ours_ssl_then_head,4,0.5144118257779148,0.7951687574386597,0.695404526260164
ours_ssl_then_head,5,0.25028937355837705,0.9156187772750854,0.8846745424800448
ours_ssl_then_head,6,0.1877343333631379,0.9397749900817871,0.9142919249004788
ours_ssl_then_head,7,0.2327809210972704,0.921575129032135,0.8834498922030131
ours_ssl_then_head,8,0.2741286392286075,0.8970880508422852,0.8430786861313714
ours_ssl_then_head,9,0.3851199435485585,0.8593646883964539,0.7913647393385569
ours_ssl_then_head,10,0.2645040736475147,0.9020516276359558,0.8474001089731852
ours_ssl_then_head,25,0.24819390301196328,0.9142951965332031,0.8741027315457662
ours_ssl_then_head,50,0.19191018716030903,0.9321641325950623,0.8849143783251444

0.1
ours_ssl_then_head,1,0.5711421424548884,0.7842488288879395,0.6946933070818583
ours_ssl_then_head,2,0.5027499507784765,0.8001323342323303,0.7089123725891113
ours_ssl_then_head,3,0.1451518663758699,0.9549967050552368,0.9443600707583957
ours_ssl_then_head,4,0.6076468465976728,0.7683653235435486,0.6532162212663226
ours_ssl_then_head,5,0.21616351236123899,0.9248842000961304,0.8792608976364136
ours_ssl_then_head,6,0.27409247251894403,0.9090006351470947,0.8530396819114685
ours_ssl_then_head,7,0.47621505335158243,0.81535404920578,0.6993779606289334
ours_ssl_then_head,8,0.4678618927158953,0.8163467645645142,0.6932795478238
ours_ssl_then_head,9,0.5868411528835386,0.7706816792488098,0.6754829916689131
ours_ssl_then_head,10,0.31719469056667515,0.8759099841117859,0.8122782111167908
ours_ssl_then_head,25,0.2327740316474619,0.9205824136734009,0.8901962637901306
ours_ssl_then_head,50,0.29036998462787456,0.9000661969184875,0.8435871932241652
ours_ssl_then_head,100,0.3027688167609575,0.8967571258544922,0.8118540727429919
