method,ssl_epochs,loss,s_acc,b_acc
ours_ssl_then_head,0,110.83539275820092,0.25479814410209656,0.1111111111111111
ours_ssl_then_head,1,0.8301492558655401,0.6866313815116882,0.526576234648625
ours_ssl_then_head,2,0.7372446716186781,0.7147584557533264,0.5706941609581312
ours_ssl_then_head,3,0.6462647323968157,0.736929178237915,0.614381343126297
ours_ssl_then_head,10,0.3150556901812524,0.8848444819450378,0.8487085170216031
ours_ssl_then_head,25,0.21202552179768336,0.9272005558013916,0.8848930795987447
ours_ssl_then_head,50,0.13712318279810648,0.9546657800674438,0.9322579039467705
ours_ssl_then_head,100,0.1251884993115806,0.9675711393356323,0.9511599540710449

ours_ssl_then_head,100,0.17164052316017847,0.9500330686569214,0.9290041327476501

gpu1:
ours_ssl_then_head,100,0.09651248511000925,0.9705492854118347,0.958530479007297
ours_ssl_then_head,100,0.09651248511000925,0.9705492854118347,0.958530479007297

original:
ours_ssl_then_head,100,0.07415187875120786,0.9781601428985596,0.9682044453091092

gpu0:
ours_ssl_then_head,100,0.09651248511000925,0.9705492854118347,0.958530479007297


different transformation
ours_ssl_then_head,100,0.09335973745777162,0.974520206451416,0.9651056461864047

ours_ssl_then_head,100,1.489368933545762,0.48246195912361145,0.24518414421213997
