method,ssl_epochs,loss,s_acc,b_acc
lr = 0.3
ours_ssl_then_head,0,110.83539275820092,0.25479814410209656,0.1111111111111111
ours_ssl_then_head,1,0.5784042964582803,0.7600926756858826,0.6614294681284163
ours_ssl_then_head,2,0.6599325515985647,0.7425546050071716,0.614215632279714
ours_ssl_then_head,3,0.6385806540556099,0.7511581778526306,0.6366205596261554
ours_ssl_then_head,4,0.5361988253146903,0.788550615310669,0.7095585978693433
ours_ssl_then_head,5,0.3236883097654301,0.8848444819450378,0.8352342678440942
ours_ssl_then_head,10,0.16545620974409686,0.9427531361579895,0.9226041436195374
ours_ssl_then_head,25,0.13296249924963532,0.9602912068367004,0.9431343078613281
ours_ssl_then_head,50,0.13154262361874217,0.9609529972076416,0.9447880983352661
ours_ssl_then_head,100,0.12726048181329014,0.9606221318244934,0.9444382256931729

lr= 0.6
ours_ssl_then_head,1,0.8301492558655401,0.6866313815116882,0.526576234648625
ours_ssl_then_head,2,0.7372446716186781,0.7147584557533264,0.5706941609581312
ours_ssl_then_head,3,0.6462647323968157,0.736929178237915,0.614381343126297
ours_ssl_then_head,4,0.3370559152239719,0.8722700476646423,0.825812366273668
ours_ssl_then_head,5,0.6635276387654575,0.7322964668273926,0.6289795455005434
ours_ssl_then_head,10,0.3150556901812524,0.8848444819450378,0.8487085170216031
ours_ssl_then_head,25,0.21202552179768336,0.9272005558013916,0.8848930795987447
ours_ssl_then_head,50,0.13712318279810648,0.9546657800674438,0.9322579039467705
ours_ssl_then_head,100,0.1251884993115806,0.9675711393356323,0.9511599540710449

ours_ssl_then_head,200,0.11607087240199984,0.9672402143478394,0.9531190196673075
