method,ssl_epochs,loss,s_acc,b_acc
0.3
ours_ssl_then_head,1,0.39201333686588596,0.8544010519981384,0.7827580504947238
ours_ssl_then_head,2,0.42387036287887137,0.8299139738082886,0.7495852145883772
ours_ssl_then_head,3,0.5175653414013053,0.7918596863746643,0.69727866186036
ours_ssl_then_head,4,0.4093940864279521,0.8448047637939453,0.7667359875308143
ours_ssl_then_head,5,0.39669027387316774,0.8520846962928772,0.771965397728814
ours_ssl_then_head,10,0.4010558485057794,0.8398411870002747,0.7686354319254557
ours_ssl_then_head,25,0.473782887587399,0.8103904724121094,0.7089671327008141
ours_ssl_then_head,50,0.37654775977799604,0.8457974791526794,0.7767398721641965
ours_ssl_then_head,100,0.30908564421083856,0.8788881301879883,0.8246553341547648

ours_ssl_then_head,1,0.39201333686588596,0.8544010519981384,0.7827580504947238
ours_ssl_then_head,2,0.42387036287887137,0.8299139738082886,0.7495852145883772
ours_ssl_then_head,3,0.5175653414013053,0.7918596863746643,0.69727866186036
ours_ssl_then_head,4,0.4093940864279521,0.8448047637939453,0.7667359875308143
ours_ssl_then_head,5,0.39669027387316774,0.8520846962928772,0.771965397728814
ours_ssl_then_head,6,0.3618995750052972,0.8676373362541199,0.8016805185212029
ours_ssl_then_head,7,0.4179315877465678,0.8421574831008911,0.7649683554967245
ours_ssl_then_head,8,0.3142475042859503,0.8831899166107178,0.8320214152336121
ours_ssl_then_head,9,0.3944617150675611,0.8408339023590088,0.7739259269502428

0.1
ours_ssl_then_head,1,0.3996493496557958,0.8530774116516113,0.7783094545205435
ours_ssl_then_head,2,0.222365285586726,0.9255459904670715,0.8972727722591824
ours_ssl_then_head,3,0.26995628476537353,0.8964262008666992,0.8560090594821506
ours_ssl_then_head,4,0.3173610550098116,0.8851754069328308,0.8261500199635824

0.01
ours_ssl_then_head,1,0.18778603198037566,0.9526803493499756,0.9627899395094978
ours_ssl_then_head,2,0.32630437324569367,0.8785572648048401,0.8307929966184828
ours_ssl_then_head,3,0.1821593180083695,0.9437458515167236,0.9340297513537936
ours_ssl_then_head,4,0.24899762546893858,0.9169424176216125,0.8901160822974311

0.05
ours_ssl_then_head,1,0.3497578371131286,0.8696227669715881,0.8063274621963501
ours_ssl_then_head,2,0.1381717740060684,0.9636002779006958,0.9532376660241021
ours_ssl_then_head,3,0.35545594582961615,0.8699536919593811,0.8098617990811666
ours_ssl_then_head,4,0.24707391345442023,0.9139642715454102,0.8677567905849881
ours_ssl_then_head,5,0.35059583455343896,0.868960976600647,0.7940627866321139
ours_ssl_then_head,6,0.3965222928241576,0.8494374752044678,0.7639064557022519

0.06
ours_ssl_then_head,0,110.83539275820092,0.25479814410209656,0.1111111111111111
ours_ssl_then_head,1,0.424699082467668,0.8467901945114136,0.7747321195072598
ours_ssl_then_head,2,0.3754224609102854,0.8553937673568726,0.7843266328175863
ours_ssl_then_head,3,0.20462682220883283,0.9374586343765259,0.907482299539778
ours_ssl_then_head,4,0.3078876824606972,0.8898080587387085,0.8387965758641561
ours_ssl_then_head,5,0.3302231886030269,0.8706154823303223,0.8133016791608598
ours_ssl_then_head,6,0.4063154787988871,0.8368629813194275,0.7505371371905009
ours_ssl_then_head,7,0.3768009476358728,0.8646591901779175,0.7792873978614807
ours_ssl_then_head,8,0.38033063913874876,0.8487756252288818,0.7804234325885773
ours_ssl_then_head,9,0.3747464869933204,0.8577101230621338,0.7808455162578158
ours_ssl_then_head,10,0.39908537538851596,0.8352084755897522,0.7580774062209659
ours_ssl_then_head,25,0.3691098599304512,0.8527465462684631,0.7843441367149353
ours_ssl_then_head,50,0.3781988821839908,0.8500992655754089,0.766236811876297
ours_ssl_then_head,100,0.4810549241202821,0.8041032552719116,0.6808571740984917
